Adams|ADAMS COUNTY|Clerk Of Circuit Court (County Clerk)|279475.5200000001
Adams|ADAMS COUNTY|County Auditor|209904.61
Adams|ADAMS COUNTY|County Treasurer|128889.61
Adams|ADAMS COUNTY|County Recorder|76888.08
Adams|ADAMS COUNTY|County Sheriff|975913.26
Adams|ADAMS COUNTY|County Surveyor|103739.84000000003
Adams|ADAMS COUNTY|County Coroner|32825.32
Adams|ADAMS COUNTY|County Assessor|165928.22
Adams|ADAMS COUNTY|Prosecuting Attorney|198533.22
Adams|ADAMS COUNTY|Registration Of Voters|1800.0
Adams|ADAMS COUNTY|County Cooperative Extension Service (Agent)|182654.09
Adams|ADAMS COUNTY|Veterans Service Officer|6209.52
Adams|ADAMS COUNTY|County Council|112591.85
Adams|ADAMS COUNTY|County Election Board|63614.02
Adams|ADAMS COUNTY|Drainage Board|53935.600000000006
Adams|ADAMS COUNTY|PTABOA Board|117.21
Adams|ADAMS COUNTY|County Commissioners|4224523.87
Adams|ADAMS COUNTY|Board Of Zoning Appeals|5988.209999999999
Adams|ADAMS COUNTY|Plan Commission|42437.7
Adams|ADAMS COUNTY|Court House|241556.00000000003
Adams|ADAMS COUNTY|Superior Court #1 (Superior Court)|122870.56999999999
Adams|ADAMS COUNTY|Circuit Court|182198.72999999998
Adams|ADAMS COUNTY|Probation|320289.68000000005
Adams|ADAMS COUNTY|Public Defender|219459.69999999998
Adams|ADAMS COUNTY|Weights & Measures Inspector|6609.360000000001
Adams|ADAMS COUNTY|Building Department (Jail Const. - Bldg. Comm. - Permits)|75701.7
Adams|ADAMS COUNTY|Civil Defense|67543.31000000001
Adams|ADAMS COUNTY|Jail|788802.98
Adams|ADAMS COUNTY|County Home - Elderly|586295.6000000001
Adams|ADAMS COUNTY|4-D Program (Child Support)|120115.61999999998
Adams|ADAMS COUNTY|Soil Conservation (Soil & Water)|56693.04
Adams|ADAMS COUNTY|Miscellaneous |385607.23
Adams|ADAMS COUNTY|No Department|56121.01
Adams|ADAMS COUNTY|Highway Administration|119693.08
Adams|ADAMS COUNTY|Maintenance & Repair|1049094.44
Adams|ADAMS COUNTY|General & Undistributed Expense|1092279.3599999999
Adams|DECATUR CIVIL CITY|Clerk-Treasurer (City/Town Units Only)|71468.12000000001
Adams|DECATUR CIVIL CITY|Mayor|46021.82
Adams|DECATUR CIVIL CITY|City Council/Town Board (Common Council)|897367.0599999999
Adams|DECATUR CIVIL CITY|Plan Commission|110530.12000000001
Adams|DECATUR CIVIL CITY|City/Town Hall|16935.65
Adams|DECATUR CIVIL CITY|Law Department|38883.13
Adams|DECATUR CIVIL CITY|Fire Department|571742.1099999999
Adams|DECATUR CIVIL CITY|Police Department (Town Marshall)|1017104.48
Adams|DECATUR CIVIL CITY|Sanitation Department (Waste Water-Sewage)|309870.68
Adams|DECATUR CIVIL CITY|Parking Meter (Meter Police)|26662.079999999998
Adams|DECATUR CIVIL CITY|No Department|45000.0
Adams|BERNE CIVIL CITY|CLERK-TREASURER (CITY/TOWN UNITS ONLY)            |25097.9
Adams|BERNE CIVIL CITY|MAYOR                                             |7328.200000000001
Adams|BERNE CIVIL CITY|CITY COUNCIL/TOWN BOARD (COMMON COUNCIL)          |421081.77
Adams|BERNE CIVIL CITY|PLAN COMMISSION                                   |24073.28
Adams|BERNE CIVIL CITY|FIRE DEPARTMENT                                   |109393.63
Adams|BERNE CIVIL CITY|POLICE DEPARTMENT (TOWN MARSHALL)                 |416683.27
Adams|BERNE CIVIL CITY|SOLID WASTE (REFUSE-GARBAGE-TRASH)                |216508.62000000002
Adams|BERNE CIVIL CITY|PARKS                                             |83481.36
Adams|BERNE CIVIL CITY|BOARD OF PUBLIC WORKS & SAFETY                    |1015.0
Adams|BERNE CIVIL CITY|LAW DEPARTMENT                                    |7074.0
Adams|BERNE CIVIL CITY|NO DEPARTMENT                                     |100000.0
Adams|GENEVA CIVIL TOWN|NO DEPARTMENT                                     |394243.07000000007
Adams|MONROE CIVIL TOWN|No Department|154707.21
Allen|ALLEN COUNTY|Clerk Of Circuit Court (County Clerk)|2829179.17
Allen|ALLEN COUNTY|County Auditor|1045683.6499999999
Allen|ALLEN COUNTY|County Treasurer|683098.74
Allen|ALLEN COUNTY|County Recorder|73864.07
Allen|ALLEN COUNTY|County Sheriff|10730812.789999997
Allen|ALLEN COUNTY|County Surveyor|787605.6900000001
Allen|ALLEN COUNTY|County Coroner|547750.7000000001
Allen|ALLEN COUNTY|County Assessor|1878229.5
Allen|ALLEN COUNTY|Prosecuting Attorney|2302003.9400000004
Allen|ALLEN COUNTY|Registration Of Voters|318681.37999999995
Allen|ALLEN COUNTY|County Cooperative Extension Service (Agent)|296575.09
Allen|ALLEN COUNTY|Wayne|513221.22000000003
Allen|ALLEN COUNTY|County Council|132926.18
Allen|ALLEN COUNTY|County Election Board|760096.2100000001
Allen|ALLEN COUNTY|County Commissioners|18914016.3
Allen|ALLEN COUNTY|Plan Commission|1400303.63
Allen|ALLEN COUNTY|Regional Planning (NEIRCC)|794391.4799999999
Allen|ALLEN COUNTY|Data Processing (Computers)|3698686.81
Allen|ALLEN COUNTY|Purchasing|532240.9099999999
Allen|ALLEN COUNTY|Personnel|409032.82
Allen|ALLEN COUNTY|Youth Center (Boys/Girls Club-Wood Center-Juv. Home)|1185003.48
Allen|ALLEN COUNTY|Superior Court #1 (Superior Court)|4793136.04
Allen|ALLEN COUNTY|Superior Court #4|183940.48
Allen|ALLEN COUNTY|Superior Court #6|220183.77000000002
Allen|ALLEN COUNTY|Superior Court #8|305244.4599999999
Allen|ALLEN COUNTY|Circuit Court|1568078.79
Allen|ALLEN COUNTY|Public Defender|1972012.3299999998
Allen|ALLEN COUNTY|Building Department (Jail Const. - Bldg. Comm. - Permits)|1274775.5099999998
Allen|ALLEN COUNTY|Building Maintenance (Maint. & Repair - City Inspector)|3097829.5300000003
Allen|ALLEN COUNTY|Civil Defense|164952.84999999998
Allen|ALLEN COUNTY|Work Release|903889.62
Allen|ALLEN COUNTY|Jail|10732910.01
Allen|ALLEN COUNTY|Detention Center|8320036.89
Allen|ALLEN COUNTY|4-D Program (Child Support)|1747377.61
Allen|ALLEN COUNTY|Parks & Recreation (Recreation)|471495.64
Allen|ALLEN COUNTY|Drainage Board|240.24
Allen|ALLEN COUNTY|No Department|8226607.68
Allen|ALLEN COUNTY|Mental Retardation|776739.5
Allen|ALLEN COUNTY|Mental Health Center|1948445.0
Allen|ALLEN COUNTY|Highway Administration|2630970.9299999997
Allen|ALLEN COUNTY|Maintenance & Repair|1964292.43
Allen|ALLEN COUNTY|General & Undistributed Expense|4997388.58
Allen|FORT WAYNE CIVIL CITY|Clerk-Treasurer (City/Town Units Only)|505051.02
Allen|FORT WAYNE CIVIL CITY|Mayor|1398460.4400000002
Allen|FORT WAYNE CIVIL CITY|City Council/Town Board (Common Council)|462847.80000000005
Allen|FORT WAYNE CIVIL CITY|Police Merit Board/Commission|2250.0
Allen|FORT WAYNE CIVIL CITY|Community Planning & Development (Chamber Of Commerce)|3972259.86
Allen|FORT WAYNE CIVIL CITY|Law Department|505553.51000000007
Allen|FORT WAYNE CIVIL CITY|Weights & Measures Inspector|223458.83
Allen|FORT WAYNE CIVIL CITY|Police Department (Town Marshall)|54657431.15
Allen|FORT WAYNE CIVIL CITY|Animal Control|2616439.099999999
Allen|FORT WAYNE CIVIL CITY|FINANCE & ADMINISTRATION|9871761.35
Allen|FORT WAYNE CIVIL CITY|INTERNAL AUDIT|263747.52999999997
Allen|FORT WAYNE CIVIL CITY|METROPOLITAN HUMAN RELATIONS|626555.2
Allen|FORT WAYNE CIVIL CITY|PUBLIC WORKS|12504996.859999998
Allen|FORT WAYNE CIVIL CITY|Communications Department (Radio-Phones-Dispatch)|3195130.0
Allen|FORT WAYNE CIVIL CITY|No Department|6363001.97
Allen|NEW HAVEN CIVIL CITY|Clerk-Treasurer (City/Town Units Only)|97947.39
Allen|NEW HAVEN CIVIL CITY|Mayor|4490452.82
Allen|NEW HAVEN CIVIL CITY|City Council/Town Board (Common Council)|42231.189999999995
Allen|NEW HAVEN CIVIL CITY|Planning & Zoning|70018.83
Allen|NEW HAVEN CIVIL CITY|City/Town Hall|164184.09999999998
Allen|NEW HAVEN CIVIL CITY|City/Town Court (City Judge/Judge)|166242.1
Allen|NEW HAVEN CIVIL CITY|Engineer|30604.39
Allen|NEW HAVEN CIVIL CITY|Code Enforcement|62758.87
Allen|NEW HAVEN CIVIL CITY|Police Department (Town Marshall)|2286555.79
Allen|NEW HAVEN CIVIL CITY|COIT|20105.38
